"cf_id","contact_id","company_name","description","goal","pledged","outcome","backers_count","country","currency","launch_date","end_date","category_id","subcategory_id"
990,3489,"Morgan-Martinez","Mandatory tertiary implementation","$148,500.00","$4,756.00","canceled",55,"AU","AUD","2021-03-23","2021-12-06","cat1 ","subcat1 "
509,1867,"Mcknight-Freeman","Upgradable scalable methodology","$8,300.00","$6,543.00","canceled",82,"US","USD","2020-08-13","2021-04-22","cat1 ","subcat1 "
2931,2213,"Vargas-Cox","Vision-oriented local contingency","$98,600.00","$62,174.00","canceled",723,"US","USD","2021-05-06","2021-06-22","cat1 ","subcat1 "
1788,4939,"Hernandez, Norton and Kelley","Expanded eco-centric policy","$111,100.00","$62,819.00","canceled",1122,"US","USD","2020-12-30","2021-08-18","cat1 ","subcat1 "
2404,5501,"Allen-Curtis","Phased human-resource core","$70,600.00","$42,596.00","canceled",532,"US","USD","2020-09-13","2021-09-17","cat2 ","subcat2 "
174,4420,"Meza-Rogers","Streamlined encompassing encryption","$36,400.00","$26,914.00","canceled",379,"AU","AUD","2020-11-24","2021-12-26","cat2 ","subcat2 "
1883,3455,"Sanchez, Bradley and Flores","Centralized motivating capacity","$138,700.00","$31,123.00","canceled",528,"CH","CHF","2021-01-30","2021-10-19","cat2 ","subcat2 "
913,4922,"Clements Group","Assimilated actuating policy","$9,000.00","$4,896.00","canceled",94,"US","USD","2021-02-10","2021-04-08","cat2 ","subcat2 "
1016,2442,"Howell, Myers and Olson","Self-enabling mission-critical success","$52,600.00","$31,594.00","canceled",390,"US","USD","2021-04-24","2021-08-05","cat2 ","subcat2 "
1780,1326,"Dominguez-Owens","Open-architected systematic intranet","$123,600.00","$5,429.00","canceled",60,"US","USD","2021-07-16","2021-08-17","cat2 ","subcat2 "
2545,4328,"Harris-Perry","User-centric 6thgeneration attitude","$4,100.00","$3,087.00","canceled",75,"US","USD","2021-03-05","2021-07-26","cat2 ","subcat8 "
764,6089,"Cruz Ltd","Exclusive dynamic adapter","$114,800.00","$12,938.00","canceled",145,"CH","CHF","2020-06-26","2021-03-09","cat2 ","subcat8 "
1436,6196,"Morrison-Henderson","De-engineered disintermediate encoding","$100.00","$4.00","canceled",1,"CH","CHF","2021-06-18","2021-11-12","cat2 ","subcat8 "
